Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Anaerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Ground Contact Time,Training Stress Score®
Running,2026-06-17 07:13:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.3k,11.26,749,1:02:17,140,156,2.9,0.1,173,185,5:31,3:45,56,56,1.05,7.2,235,68
Running,2026-06-18 07:17:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.7k,10.69,711,46:42,162,179,2.5,1.2,178,190,4:22,3:45,103,103,1.29,7.3,227,82
Running,2026-06-20 06:40:00,false,[SYNTHETIC DEV DATA] Garmin Run - 18.0k,17.98,1196,1:36:14,142,161,4.6,0.1,174,186,5:21,3:45,105,105,1.07,6.9,231,113
Running,2026-06-21 06:26:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.7k,8.72,580,49:31,134,149,2.2,0.1,170,182,5:41,3:45,39,39,1.04,7.3,237,51
Running,2026-06-22 07:35:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.1k,5.14,342,29:22,131,149,1.5,0.1,168,180,5:42,3:45,53,53,1.04,6.9,239,30
Running,2026-06-23 07:11:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.6k,9.63,641,38:00,170,184,2.2,2.8,184,196,3:56,3:45,43,43,1.37,7.4,219,82
Running,2026-06-24 07:34:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.1k,10.15,675,53:29,137,158,2.5,0.1,173,185,5:16,3:45,60,60,1.1,7.2,239,64
Running,2026-06-25 07:10:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.2k,9.20,612,41:08,164,181,2.2,1.2,178,190,4:28,3:45,105,105,1.26,6.9,231,69
Running,2026-06-27 06:21:00,false,[SYNTHETIC DEV DATA] Garmin Run - 16.5k,16.47,1095,1:28:41,148,168,4.4,0.1,174,186,5:23,3:45,187,187,1.07,7.0,236,103
Running,2026-06-28 06:36:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.4k,8.35,555,47:09,134,152,2.1,0.1,170,182,5:38,3:45,43,43,1.04,7.6,238,49
Running,2026-06-29 07:37:00,false,[SYNTHETIC DEV DATA] Garmin Run - 4.1k,4.11,274,23:21,132,150,1.5,0.1,168,180,5:40,3:45,46,46,1.05,6.8,243,24
Running,2026-06-30 07:41:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.2k,8.24,548,31:24,171,188,1.8,2.8,182,194,3:48,3:45,49,49,1.44,7.3,222,73
Running,2026-07-01 07:25:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.1k,10.09,671,54:59,137,154,2.5,0.1,173,185,5:27,3:45,59,59,1.06,7.3,234,62
Running,2026-07-02 07:41:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.0k,12.01,798,51:29,161,177,2.8,1.2,178,190,4:17,3:45,143,143,1.31,7.0,223,94
Running,2026-07-03 07:28:00,false,[SYNTHETIC DEV DATA] Garmin Run - 7.2k,7.20,479,40:07,135,151,1.8,0.1,170,182,5:34,3:45,45,45,1.06,7.2,239,43
Running,2026-07-04 06:40:00,false,[SYNTHETIC DEV DATA] Garmin Run - 22.5k,22.46,1493,2:00:54,146,161,5.0,0.1,174,186,5:23,3:45,143,143,1.07,7.6,235,140
Running,2026-07-05 06:40:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.3k,6.32,420,35:29,134,150,1.6,0.1,170,182,5:36,3:45,33,33,1.05,7.0,237,37
Running,2026-07-06 07:08:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.0k,5.01,333,28:16,130,144,1.5,0.1,168,180,5:38,3:45,23,23,1.05,7.0,242,29
Running,2026-07-07 07:32:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.2k,10.23,680,39:03,170,190,2.2,2.8,182,194,3:49,3:45,86,86,1.43,7.6,217,90
Running,2026-07-08 07:32:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.1k,8.14,542,42:52,140,160,2.0,0.1,173,185,5:15,3:45,40,40,1.1,7.5,233,52
Running,2026-07-09 07:11:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.6k,12.60,838,53:57,160,182,2.9,1.2,178,190,4:17,3:45,86,86,1.31,7.5,228,99
Running,2026-07-10 07:15:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.6k,5.59,372,30:58,135,149,1.5,0.1,170,182,5:32,3:45,66,66,1.06,7.5,243,34
Running,2026-07-11 06:20:00,false,[SYNTHETIC DEV DATA] Garmin Run - 18.7k,18.66,1241,1:41:26,147,168,5.0,0.1,174,186,5:26,3:45,114,114,1.06,6.9,236,115
Running,2026-07-12 06:34:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.7k,6.67,443,37:12,134,149,1.7,0.1,170,182,5:34,3:45,45,45,1.05,7.5,243,40
Running,2026-07-14 07:37:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.0k,8.98,597,33:45,170,192,1.9,2.8,181,193,3:45,3:45,64,64,1.46,7.2,227,80
Running,2026-07-15 07:21:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.9k,11.88,790,1:01:32,143,164,2.9,0.1,173,185,5:10,3:45,51,51,1.12,7.1,236,77
Running,2026-07-16 07:17:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.9k,12.94,860,54:51,164,185,3.0,1.2,178,190,4:14,3:45,78,78,1.33,6.8,230,102
Running,2026-07-17 07:17:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.9k,6.85,456,37:44,135,151,1.7,0.1,170,182,5:30,3:45,47,47,1.07,7.3,235,42
Running,2026-07-18 06:24:00,false,[SYNTHETIC DEV DATA] Garmin Run - 22.8k,22.78,1515,2:02:02,144,162,5.0,0.1,174,186,5:21,3:45,212,212,1.07,7.4,232,143
Running,2026-07-19 06:29:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.0k,7.99,532,44:20,134,150,2.0,0.1,170,182,5:32,3:45,75,75,1.06,7.3,244,48
Running,2026-07-21 07:34:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.0k,9.00,599,34:11,169,189,1.9,2.8,183,195,3:47,3:45,67,67,1.44,7.2,221,80
Running,2026-07-22 07:45:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.9k,10.94,728,57:42,138,154,2.7,0.1,173,185,5:16,3:45,98,98,1.1,7.6,231,70
Running,2026-07-23 07:35:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.2k,12.23,813,51:33,159,180,2.7,1.2,178,190,4:13,3:45,108,108,1.33,7.2,230,97
Running,2026-07-24 07:30:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.0k,5.96,396,32:36,135,155,1.5,0.1,170,182,5:28,3:45,35,35,1.08,6.8,241,36
Running,2026-07-25 06:38:00,false,[SYNTHETIC DEV DATA] Garmin Run - 16.9k,16.85,1121,1:28:37,143,158,4.2,0.1,174,186,5:15,3:45,130,130,1.09,7.5,234,108
Running,2026-07-26 06:38:00,false,[SYNTHETIC DEV DATA] Garmin Run - 7.4k,7.39,492,40:45,134,155,1.8,0.1,170,182,5:30,3:45,88,88,1.07,7.6,241,45
Running,2026-07-27 07:40:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.0k,5.01,333,27:45,134,151,1.5,0.1,168,180,5:32,3:45,37,37,1.07,7.5,239,30
Running,2026-07-28 07:20:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.9k,10.94,727,40:58,170,186,2.3,2.8,182,194,3:44,3:45,67,67,1.46,7.0,217,98
Running,2026-07-29 07:14:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.2k,10.16,676,51:49,137,156,2.4,0.1,173,185,5:06,3:45,98,98,1.13,7.1,231,67
Running,2026-07-30 07:42:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.8k,9.83,654,41:36,164,183,2.3,1.2,178,190,4:14,3:45,113,113,1.33,7.5,223,78
Running,2026-07-31 07:29:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.7k,5.75,382,31:14,135,155,1.5,0.1,170,182,5:26,3:45,62,62,1.08,7.1,244,35
Running,2026-08-01 06:32:00,false,[SYNTHETIC DEV DATA] Garmin Run - 20.8k,20.83,1385,1:47:52,143,163,5.0,0.1,174,186,5:10,3:45,164,164,1.11,7.3,232,135
Running,2026-08-02 06:13:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.5k,8.52,567,46:40,134,152,2.1,0.1,170,182,5:28,3:45,100,100,1.07,7.5,240,52
Running,2026-08-04 07:25:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.5k,9.50,632,36:17,167,184,2.0,2.8,181,193,3:49,3:45,54,54,1.44,7.4,221,83
Running,2026-08-05 07:06:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.3k,11.33,753,57:44,136,152,2.6,0.1,173,185,5:05,3:45,113,113,1.13,7.6,231,75
Running,2026-08-06 07:20:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.8k,12.83,853,53:09,159,174,2.8,1.2,178,190,4:08,3:45,71,71,1.36,6.9,223,104
Running,2026-08-07 07:21:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.5k,5.54,369,29:57,135,155,1.5,0.1,170,182,5:24,3:45,56,56,1.09,7.3,236,34
Running,2026-08-08 06:06:00,false,[SYNTHETIC DEV DATA] Garmin Run - 22.6k,22.55,1500,1:59:41,142,159,5.0,0.1,174,186,5:18,3:45,257,257,1.08,7.5,234,143
Running,2026-08-09 06:42:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.6k,6.59,439,35:53,134,154,1.6,0.1,170,182,5:26,3:45,62,62,1.08,6.9,241,40
Running,2026-08-10 07:07:00,false,[SYNTHETIC DEV DATA] Garmin Run - 4.2k,4.24,282,23:12,134,153,1.5,0.1,168,180,5:28,3:45,28,28,1.09,7.1,242,26
Running,2026-08-11 07:45:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.0k,10.97,730,41:33,166,182,2.3,2.8,184,196,3:47,3:45,122,122,1.43,6.9,217,97
Running,2026-08-12 07:35:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.6k,10.60,705,54:41,143,159,2.6,0.1,173,185,5:09,3:45,81,81,1.12,7.3,238,69
Running,2026-08-13 07:34:00,false,[SYNTHETIC DEV DATA] Garmin Run - 12.7k,12.74,847,52:55,161,179,2.9,1.2,178,190,4:09,3:45,109,109,1.35,7.1,229,103
Running,2026-08-15 06:43:00,false,[SYNTHETIC DEV DATA] Garmin Run - 18.8k,18.84,1253,1:36:26,144,165,4.6,0.1,174,186,5:07,3:45,181,181,1.12,6.8,231,124
Running,2026-08-16 06:36:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.2k,8.16,543,44:08,134,153,2.0,0.1,170,182,5:24,3:45,68,68,1.09,7.2,237,50
Running,2026-08-18 07:28:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.0k,9.03,600,33:20,167,187,1.9,2.8,183,195,3:41,3:45,70,70,1.48,7.1,220,82
Running,2026-08-19 07:12:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.8k,10.81,719,54:24,138,159,2.5,0.1,173,185,5:02,3:45,105,105,1.15,7.4,233,72
Running,2026-08-20 07:42:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.8k,9.77,649,41:03,160,175,2.2,1.2,178,190,4:12,3:45,115,115,1.34,7.0,228,78
Running,2026-08-22 06:22:00,false,[SYNTHETIC DEV DATA] Garmin Run - 17.4k,17.44,1159,1:27:44,145,167,4.3,0.1,174,186,5:02,3:45,76,76,1.14,7.0,229,116
Running,2026-08-23 06:11:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.3k,8.26,549,44:23,134,151,2.0,0.1,170,182,5:22,3:45,90,90,1.09,7.2,240,51
Running,2026-08-25 07:09:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.3k,11.29,751,41:33,170,191,2.4,2.8,182,194,3:40,3:45,97,97,1.49,6.9,223,103
Running,2026-08-26 07:31:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.3k,8.34,555,41:38,140,158,1.9,0.1,173,185,4:59,3:45,73,73,1.16,7.0,238,56
Running,2026-08-27 07:24:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.8k,10.77,716,45:11,164,179,2.5,1.2,178,190,4:11,3:45,92,92,1.34,7.6,223,86
