Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Average Heart Rate,Max Heart Rate,Average Cadence,Average Watts,Calories,Relative Effort,Perceived Exertion
1000000012,"Jun 12, 2026, 07:22:00 AM",[SYNTHETIC DEV DATA] Morning 6.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2160,2117,6342.4,3.67,2.94,64.4,64.4,135.0,150.3,85.0,230,422.0,38.0,5
1000000013,"Jun 13, 2026, 06:18:00 AM",[SYNTHETIC DEV DATA] Morning 21.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",7222,7078,21767.6,3.77,3.01,175.6,175.6,148.8,169.5,87.0,230,1448.0,133.0,5
1000000014,"Jun 14, 2026, 06:28:00 AM",[SYNTHETIC DEV DATA] Morning 6.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2262,2217,6596.7,3.64,2.92,66.6,66.6,134.0,152.2,85.0,230,439.0,39.0,5
1000000015,"Jun 16, 2026, 07:26:00 AM",[SYNTHETIC DEV DATA] Morning 8.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1938,1899,8087.1,5.22,4.17,47.7,47.7,171.3,185.9,92.1,230,537.0,68.0,5
1000000016,"Jun 17, 2026, 07:13:00 AM",[SYNTHETIC DEV DATA] Morning 11.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3737,3662,11264.1,3.77,3.01,56.6,56.6,140.3,156.4,86.5,230,749.0,69.0,5
1000000017,"Jun 18, 2026, 07:19:00 AM",[SYNTHETIC DEV DATA] Morning 10.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2802,2746,10689.6,4.77,3.81,103.8,103.8,162.2,179.2,89.0,230,711.0,83.0,5
1000000018,"Jun 20, 2026, 06:40:00 AM",[SYNTHETIC DEV DATA] Morning 18.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",5774,5658,17983.2,3.89,3.11,105.0,105.0,142.1,161.2,87.0,230,1196.0,113.0,5
1000000019,"Jun 21, 2026, 06:28:00 AM",[SYNTHETIC DEV DATA] Morning 8.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2971,2912,8669.6,3.65,2.92,39.8,39.8,134.0,149.7,85.0,230,580.0,52.0,5
1000000020,"Jun 22, 2026, 07:35:00 AM",[SYNTHETIC DEV DATA] Morning 5.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1762,1726,5142.1,3.65,2.92,53.8,53.8,131.8,149.3,84.0,230,342.0,30.0,5
1000000021,"Jun 23, 2026, 07:13:00 AM",[SYNTHETIC DEV DATA] Morning 9.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2280,2235,9613.4,5.27,4.21,43.2,43.2,170.0,184.9,92.5,230,641.0,82.0,5
1000000022,"Jun 24, 2026, 07:34:00 AM",[SYNTHETIC DEV DATA] Morning 10.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3209,3145,10145.1,3.95,3.16,60.9,60.9,137.5,158.4,86.5,230,675.0,65.0,5
1000000023,"Jun 25, 2026, 07:12:00 AM",[SYNTHETIC DEV DATA] Morning 9.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2468,2419,9180.7,4.65,3.72,105.0,105.0,164.0,181.9,89.0,230,612.0,69.0,5
1000000024,"Jun 27, 2026, 06:21:00 AM",[SYNTHETIC DEV DATA] Morning 16.5K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",5321,5215,16469.1,3.87,3.09,187.9,187.9,148.9,168.5,87.0,230,1095.0,103.0,5
1000000025,"Jun 28, 2026, 06:38:00 AM",[SYNTHETIC DEV DATA] Morning 8.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2829,2773,8386.1,3.7,2.96,43.7,43.7,134.0,152.6,85.0,230,555.0,50.0,5
1000000026,"Jun 29, 2026, 07:37:00 AM",[SYNTHETIC DEV DATA] Morning 4.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1401,1373,4114.3,3.67,2.94,46.7,46.7,132.5,150.6,84.0,230,274.0,24.0,5
1000000027,"Jun 30, 2026, 07:43:00 AM",[SYNTHETIC DEV DATA] Morning 8.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1884,1846,8196.9,5.44,4.35,49.2,49.2,171.2,188.5,91.0,230,548.0,73.0,5
1000000028,"Jul 01, 2026, 07:25:00 AM",[SYNTHETIC DEV DATA] Morning 10.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3299,3233,10091.1,3.82,3.06,59.6,59.6,137.6,154.0,86.5,230,671.0,62.0,5
1000000029,"Jul 02, 2026, 07:43:00 AM",[SYNTHETIC DEV DATA] Morning 12.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3089,3028,11980.8,4.85,3.88,143.7,143.7,161.7,177.9,89.0,230,798.0,95.0,5
1000000030,"Jul 03, 2026, 07:28:00 AM",[SYNTHETIC DEV DATA] Morning 7.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2407,2359,7198.2,3.74,2.99,45.2,45.2,135.0,151.4,85.0,230,479.0,44.0,5
1000000031,"Jul 04, 2026, 06:42:00 AM",[SYNTHETIC DEV DATA] Morning 22.5K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",7254,7109,22433.3,3.87,3.09,143.6,143.6,146.7,161.7,87.0,230,1493.0,141.0,5
1000000032,"Jul 05, 2026, 06:40:00 AM",[SYNTHETIC DEV DATA] Morning 6.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2129,2086,6321.1,3.71,2.97,33.1,33.1,134.0,150.7,85.0,230,420.0,38.0,5
1000000033,"Jul 06, 2026, 07:10:00 AM",[SYNTHETIC DEV DATA] Morning 5.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1696,1662,5039.9,3.71,2.97,23.7,23.7,130.5,144.5,84.0,230,333.0,30.0,5
1000000034,"Jul 07, 2026, 07:32:00 AM",[SYNTHETIC DEV DATA] Morning 10.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2343,2296,10229.9,5.46,4.37,86.8,86.8,170.4,190.0,91.4,230,680.0,90.0,5
1000000035,"Jul 08, 2026, 07:34:00 AM",[SYNTHETIC DEV DATA] Morning 8.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2572,2521,8153.1,3.96,3.17,40.9,40.9,140.4,160.8,86.5,230,542.0,52.0,5
1000000036,"Jul 09, 2026, 07:11:00 AM",[SYNTHETIC DEV DATA] Morning 12.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3237,3172,12595.7,4.86,3.89,86.0,86.0,160.5,182.3,89.0,230,838.0,99.0,5
1000000037,"Jul 10, 2026, 07:17:00 AM",[SYNTHETIC DEV DATA] Morning 5.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1858,1821,5622.2,3.78,3.02,66.0,66.0,135.0,149.2,85.0,230,372.0,34.0,5
1000000038,"Jul 11, 2026, 06:20:00 AM",[SYNTHETIC DEV DATA] Morning 18.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",6086,5964,18657.5,3.83,3.07,114.5,114.5,147.6,168.6,87.0,230,1241.0,116.0,5
1000000039,"Jul 12, 2026, 06:36:00 AM",[SYNTHETIC DEV DATA] Morning 6.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2232,2187,6637.1,3.72,2.97,45.3,45.3,134.0,149.8,85.0,230,443.0,40.0,5
1000000040,"Jul 14, 2026, 07:37:00 AM",[SYNTHETIC DEV DATA] Morning 9.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2025,1984,8975.1,5.54,4.43,64.6,64.6,170.6,192.2,90.9,230,597.0,81.0,5
1000000041,"Jul 15, 2026, 07:23:00 AM",[SYNTHETIC DEV DATA] Morning 11.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3692,3618,11843.1,4.01,3.21,51.2,51.2,143.7,164.0,86.5,230,790.0,77.0,5
1000000042,"Jul 16, 2026, 07:17:00 AM",[SYNTHETIC DEV DATA] Morning 12.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3291,3225,12936.9,4.91,3.93,78.1,78.1,164.4,185.8,89.0,230,860.0,103.0,5
1000000043,"Jul 17, 2026, 07:19:00 AM",[SYNTHETIC DEV DATA] Morning 6.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2264,2219,6827.4,3.77,3.02,47.4,47.4,135.0,151.6,85.0,230,456.0,42.0,5
1000000044,"Jul 18, 2026, 06:24:00 AM",[SYNTHETIC DEV DATA] Morning 22.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",7322,7176,22784.1,3.89,3.11,212.7,212.7,144.1,162.5,87.0,230,1515.0,144.0,5
1000000045,"Jul 19, 2026, 06:31:00 AM",[SYNTHETIC DEV DATA] Morning 8.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2660,2607,7959.7,3.74,2.99,75.3,75.3,134.0,150.4,85.0,230,532.0,49.0,5
1000000046,"Jul 21, 2026, 07:34:00 AM",[SYNTHETIC DEV DATA] Morning 9.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2051,2009,9004.2,5.49,4.39,67.8,67.8,169.5,189.8,91.7,230,599.0,80.0,5
1000000047,"Jul 22, 2026, 07:47:00 AM",[SYNTHETIC DEV DATA] Morning 10.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3462,3393,10920.4,3.94,3.15,98.0,98.0,138.3,154.1,86.5,230,728.0,70.0,5
1000000048,"Jul 23, 2026, 07:35:00 AM",[SYNTHETIC DEV DATA] Morning 12.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3093,3031,12226.3,4.94,3.95,108.7,108.7,159.3,180.4,89.0,230,813.0,98.0,5
1000000049,"Jul 24, 2026, 07:32:00 AM",[SYNTHETIC DEV DATA] Morning 6.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1956,1917,5924.1,3.78,3.03,35.5,35.5,135.0,155.0,85.0,230,396.0,37.0,5
1000000050,"Jul 25, 2026, 06:38:00 AM",[SYNTHETIC DEV DATA] Morning 16.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",5317,5210,16852.7,3.96,3.17,130.0,130.0,143.2,158.2,87.0,230,1121.0,108.0,5
1000000051,"Jul 26, 2026, 06:40:00 AM",[SYNTHETIC DEV DATA] Morning 7.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2445,2396,7349.9,3.76,3.01,88.0,88.0,134.0,155.1,85.0,230,492.0,45.0,5
1000000052,"Jul 27, 2026, 07:40:00 AM",[SYNTHETIC DEV DATA] Morning 5.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1665,1631,5009.6,3.76,3.01,37.9,37.9,134.0,151.6,84.0,230,333.0,31.0,5
1000000053,"Jul 28, 2026, 07:22:00 AM",[SYNTHETIC DEV DATA] Morning 10.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2458,2409,10968.8,5.58,4.46,67.8,67.8,170.7,186.8,91.2,230,727.0,99.0,5
1000000054,"Jul 29, 2026, 07:14:00 AM",[SYNTHETIC DEV DATA] Morning 10.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3109,3047,10160.6,4.08,3.27,98.1,98.1,137.9,156.2,86.5,230,676.0,67.0,5
1000000055,"Jul 30, 2026, 07:44:00 AM",[SYNTHETIC DEV DATA] Morning 9.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2496,2447,9836.8,4.92,3.94,113.7,113.7,164.4,183.0,89.0,230,654.0,78.0,5
1000000056,"Jul 31, 2026, 07:29:00 AM",[SYNTHETIC DEV DATA] Morning 5.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1874,1837,5746.5,3.83,3.07,62.2,62.2,135.0,155.0,85.0,230,382.0,36.0,5
1000000057,"Aug 01, 2026, 06:34:00 AM",[SYNTHETIC DEV DATA] Morning 20.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",6472,6343,20858.4,4.03,3.22,164.2,164.2,143.5,163.9,87.0,230,1385.0,136.0,5
1000000058,"Aug 02, 2026, 06:13:00 AM",[SYNTHETIC DEV DATA] Morning 8.5K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2800,2744,8521.5,3.8,3.04,100.9,100.9,134.0,152.7,85.0,230,567.0,53.0,5
1000000059,"Aug 04, 2026, 07:27:00 AM",[SYNTHETIC DEV DATA] Morning 9.5K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2177,2133,9542.2,5.48,4.38,54.1,54.1,167.1,184.1,90.7,230,632.0,84.0,5
1000000060,"Aug 05, 2026, 07:06:00 AM",[SYNTHETIC DEV DATA] Morning 11.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3464,3394,11327.7,4.09,3.27,113.2,113.2,136.7,152.4,86.5,230,753.0,75.0,5
1000000061,"Aug 06, 2026, 07:22:00 AM",[SYNTHETIC DEV DATA] Morning 12.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3189,3125,12823.0,5.03,4.02,71.8,71.8,159.2,174.2,89.0,230,853.0,104.0,5
1000000062,"Aug 07, 2026, 07:21:00 AM",[SYNTHETIC DEV DATA] Morning 5.5K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1797,1761,5544.9,3.86,3.08,56.2,56.2,135.0,155.0,85.0,230,369.0,35.0,5
1000000063,"Aug 08, 2026, 06:08:00 AM",[SYNTHETIC DEV DATA] Morning 22.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",7181,7038,22551.3,3.93,3.14,257.8,257.8,142.8,159.8,87.0,230,1500.0,143.0,5
1000000064,"Aug 09, 2026, 06:42:00 AM",[SYNTHETIC DEV DATA] Morning 6.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2153,2110,6595.0,3.83,3.06,62.8,62.8,134.0,154.2,85.0,230,439.0,41.0,5
1000000065,"Aug 10, 2026, 07:09:00 AM",[SYNTHETIC DEV DATA] Morning 4.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1392,1364,4222.5,3.79,3.03,28.8,28.8,134.9,153.0,84.0,230,282.0,26.0,5
1000000066,"Aug 11, 2026, 07:45:00 AM",[SYNTHETIC DEV DATA] Morning 11.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2493,2443,10973.5,5.5,4.4,122.2,122.2,166.6,182.0,92.4,230,730.0,98.0,5
1000000067,"Aug 12, 2026, 07:37:00 AM",[SYNTHETIC DEV DATA] Morning 10.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3281,3216,10592.1,4.03,3.23,81.8,81.8,143.4,159.9,86.5,230,705.0,69.0,5
1000000068,"Aug 13, 2026, 07:34:00 AM",[SYNTHETIC DEV DATA] Morning 12.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3175,3112,12738.5,5.01,4.01,109.0,109.0,161.7,179.7,89.0,230,847.0,103.0,5
1000000069,"Aug 15, 2026, 06:45:00 AM",[SYNTHETIC DEV DATA] Morning 18.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",5786,5671,18815.8,4.06,3.25,181.0,181.0,144.0,165.5,87.0,230,1253.0,124.0,5
1000000070,"Aug 16, 2026, 06:36:00 AM",[SYNTHETIC DEV DATA] Morning 8.2K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2648,2595,8160.2,3.85,3.08,68.9,68.9,134.0,153.7,85.0,230,543.0,51.0,5
1000000071,"Aug 18, 2026, 07:30:00 AM",[SYNTHETIC DEV DATA] Morning 9.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2000,1960,9033.8,5.64,4.52,70.3,70.3,167.5,187.4,91.7,230,600.0,82.0,5
1000000072,"Aug 19, 2026, 07:12:00 AM",[SYNTHETIC DEV DATA] Morning 10.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3264,3199,10811.4,4.14,3.31,105.6,105.6,138.0,159.6,86.5,230,719.0,72.0,5
1000000073,"Aug 20, 2026, 07:44:00 AM",[SYNTHETIC DEV DATA] Morning 9.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2463,2414,9760.0,4.95,3.96,115.4,115.4,160.7,175.5,89.0,230,649.0,78.0,5
1000000074,"Aug 22, 2026, 06:22:00 AM",[SYNTHETIC DEV DATA] Morning 17.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",5264,5159,17435.5,4.14,3.31,76.1,76.1,145.7,167.3,87.0,230,1159.0,117.0,5
1000000075,"Aug 23, 2026, 06:13:00 AM",[SYNTHETIC DEV DATA] Morning 8.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2663,2609,8268.2,3.88,3.1,90.7,90.7,134.0,151.5,85.0,230,549.0,52.0,5
1000000076,"Aug 25, 2026, 07:09:00 AM",[SYNTHETIC DEV DATA] Morning 11.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2493,2443,11293.7,5.66,4.53,97.3,97.3,170.9,191.4,91.0,230,751.0,104.0,5
1000000077,"Aug 26, 2026, 07:33:00 AM",[SYNTHETIC DEV DATA] Morning 8.3K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2498,2448,8379.6,4.19,3.35,73.8,73.8,140.5,158.6,86.5,230,555.0,56.0,5
1000000078,"Aug 27, 2026, 07:24:00 AM",[SYNTHETIC DEV DATA] Morning 10.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2711,2657,10770.9,4.97,3.97,92.1,92.1,164.9,179.7,89.0,230,716.0,87.0,5
